utterance,intent
Draft text for a stunning barn conversion in Herefordshire with several acres of land.,generate_property_description
What do you have that's a penthouse with direct lift access in Birmingham?,search_properties
What's for sale in the 'Toast Rack' area of Wandsworth Common?,search_properties
"Probate has been granted for the house in York, please change its status to 'Available'.",update_listing
"Increase the monthly rent for the Canary Wharf rental to £2,200.",update_listing
"Correct the property description, it's a 'Juliette balcony' not a full balcony, for the flat in Brighton.",update_listing
My client is interested in anything with equestrian facilities in West Sussex.,search_properties
Is the property in a flood risk zone?,get_property_details
What was the feedback from the surveyor on the previous failed sale?,get_property_details
Draft a description for a freehold parcel of woodland for sale in Herefordshire.,generate_property_description
"The parking is allocated, not just 'off-street'. Please make that correction.",update_listing
Create a guide on moving out smoothly after you've sold your property.,generate_blog_post
Generate a blog post: 'A First-Time Buyer's Guide to Using the UK's Property Portals Effectively'.,generate_blog_post
What was the name of the couple who viewed the property twice last week?,get_property_details
"Generate an article explaining the different types of estate agency contracts (sole agency, multi-agency).",generate_blog_post
Get me a summary of all viewing feedback for the home in Reading.,get_property_details
"I need a description for a canal-side apartment in Copenhagen, Denmark.",generate_property_description
Create the text for a 1930s semi-detached house in a suburb of Leicester.,generate_property_description
Write a guide to preparing your garden for property viewings.,generate_blog_post
The available date has been pushed back to August 15th for the rental in Manchester.,update_listing
Can you check the grammar in the main description for the Bath property? I think there are some errors.,update_listing
Show me all listings in the Golden Triangle of Norwich.,search_properties
"I need a short, professional description for a commercial unit in Birmingham's business district.",generate_property_description
Write a blog post for first-time buyers: 'A Glossary of Must-Know Property Terms'.,generate_blog_post
Show me the key log for the property at 34 Elderflower Lane.,get_property_details
Show me the council tax band for the bungalow in Cornwall.,get_property_details
"Write a description for a designer apartment in Knightsbridge, furnished by a renowned interior designer.",generate_property_description
Find me a house with a large kitchen-diner in Bristol.,search_properties
I need a property within a 5-minute walk of a good coffee shop in Manchester's Northern Quarter.,search_properties
Are there any properties with a concierge service in central London?,search_properties
What are the nearest pubs and restaurants to the property in Notting Hill?,get_property_details
What was the previous sale price for the house in Oxford?,get_property_details
Change the furnishing status to 'Unfurnished' for the property on Old Kent Road.,update_listing
Has the property been down-valued by a surveyor in the past?,get_property_details
Pull up the key features for the home in Newcastle.,get_property_details
Quick description needed for a 1-bed retirement flat in Bristol.,generate_property_description
Create a blog post on 'How to Find and Vet a Good Tenant'.,generate_blog_post
Create a post discussing the resilience of the prime central London rental market.,generate_blog_post
Generate a complete guide to getting a mortgage in the UK.,generate_blog_post
What's the nearest large supermarket to the house in rural Yorkshire?,get_property_details
Find the managing agent's details for the block in Manchester City Centre.,get_property_details
Generate a blog post analyzing the Autumn 2025 property market forecast for the North West.,generate_blog_post
Are there any twilight or evening photos of the property?,get_property_details
How many second viewings are booked for the flat in Angel?,get_property_details
Show me the full viewing history for the property at 12 Grimmauld Place.,get_property_details
"The sellers have accepted an offer, but want it marketed as 'Under Offer' while we check the chain.",update_listing
Generate text for a property that has recently been fully refurbished to a high standard.,generate_property_description
"Generate a property description for a 4-bedroom detached house in Harpenden with a large, south-facing garden.",generate_property_description
Can you write a Facebook post for a new property on the market? It's a bungalow in Bournemouth.,generate_property_description
"The EPC rating for the Glasgow flat is C, please update the listing.",update_listing
"Generate a description for a Georgian townhouse in Bath, focusing on its restored period features.",generate_property_description
"The owner will be away, so add 'No viewings between August 10th and 20th' to the agent notes.",update_listing
Show me all the properties being marketed by Savills in Surrey.,search_properties
Who is the agent covering the next viewing at the Winchester property?,get_property_details
Is the vendor's solicitor on the lender panel for HSBC?,get_property_details
I need a flat that is close to the Northern Line.,search_properties
What's on the market in Shrewsbury with four or more bedrooms?,search_properties
I need the raw image files from the photographer for the listing in Bath.,get_property_details
Add the room dimensions to the listing for the Bristol home.,update_listing
Analyze the trend of 'downsizing' among retirees and its effect on the housing market.,generate_blog_post
Write a piece on the effect of changing EPC regulations on the rental market.,generate_blog_post
"Is there a wood-burning stove, and is it certified?",get_property_details
"Write a description for a modern, high-spec apartment in Birmingham's Jewellery Quarter.",generate_property_description
Find me a home with a south-facing garden in Winchester.,search_properties
Create a brochure entry for a new development of high-tech business units.,generate_property_description
Write the blurb for a new instruction: a 5-bed executive home in Alderley Edge.,generate_property_description
I want to see listings that have a virtual tour available in Manchester.,search_properties
Create a guide for pet owners on how to prepare their home for viewings.,generate_blog_post
Show me the proximity of the property to the M25 motorway.,get_property_details
Can I see all the photos for the property on Regent Street?,get_property_details
Add 'Off-street parking' to the features for the Brighton house.,update_listing
What are the access arrangements for the communal areas of the building?,get_property_details
What three-bed semi-detached homes are available near Jesmond Dene in Newcastle?,search_properties
Show me the date the property was first listed for sale.,get_property_details
Can you pull up the service charge accounts for the last 3 years for the flat in Battersea?,get_property_details
Generate a blog post on how to negotiate with developers when buying a new build.,generate_blog_post
Get me the sales history going back 20 years for the address in Kensington.,get_property_details
Compose a post on the future of high street retail spaces and their potential for residential conversion.,generate_blog_post
Change the rental term to 'Long term let only (12 months minimum)' for the house in Cambridge.,update_listing
What's for sale on the Isle of Wight with a sea view?,search_properties
"The landlord will now consider pets, please add 'Pets considered' to the listing in Islington.",update_listing
I need a property with disabled access in Bath.,search_properties
